拜占庭帝国,君主制,东正教
热那亚共和国,共和国,基督教
威尼斯共和国,共和国,基督教
奥斯曼帝国,君主制,伊斯兰教
塞尔维亚王国,君主制,东正教
迈锡尼,城市,爱琴海文明
克诺索斯,城市,米诺斯文明
特洛伊,城市,小亚细亚文明
雅典,城邦,古希腊宗教
斯巴达,寡头政治,古希腊宗教
底比斯,城邦,古希腊宗教
科林斯,城邦,古希腊宗教
叙拉古,城邦,古希腊宗教
波斯帝国,君主制,袄教
马其顿王国,君主制,古希腊宗教
安提柯王朝,君主制,古希腊宗教
拉丁帝国,君主制,基督教
塞萨洛尼基王国,君主制,基督教
伊庇鲁斯专制国,君主制,正教
医院骑士团,宗教国,天主教
美国,共和国,混合
大日本帝国,君主制,神道教
俄罗斯帝国,君主制,正教
